code,product_name,brands,countries_tags,categories_tags,labels_tags,ingredients_text,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,monounsaturated-fat_100g,omega-9-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,serum-proteins_100g,salt_100g,added-salt_100g
8998866202923,Floridina Coco 350ml,Wingsfood,en:indonesia,"en:beverages,id:orange-drink",,"Air, gula, nata de coco (4%), bulir jeruk (2,5%), sirup fruktosa, Konsentiat jeruk (0,75%) (mengandung sari buah 4%), air kelapa (0,3%), pengatur keasaman, penstabil nabati, vitamin c, perisa sintetik kelapa, perisa sintetik jeruk, garam, Beta-karoten (sintetik) Cl. No. 40800 (mengandung antioksidan tokoferol)",215,,0,0,,,,,,,,12,10.9,,,,,0,,0.0143,
8998866202930,Sedap Sedaap cup ayam jerit,wings food,en:indonesia,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:noodles,en:instant-noodles",,"Tepung terigu, minyak nabati (mengandung antioksidan TBHQ), pengemulsi pati asetat (mengandung sulfit), sayuran kering, garam, penguat rasa (mononatrium glutamat), gula, bawang bombay, perisa sin bombay bubuk, bawang putih bubuk, hidrolisat protein nabati (mengandung kedelai), ekstrak ragi, m (mengandung susu), cabe rawit (0,28%), lada bubuk, bawang putih, daun bawang kering, bawang merah, pen nabati, penstabil fosfat, penguat rasa (Dinatrium 5'-Inosinat dan Dinatrium 5'- Guanilat); pengatur keasaman pa alami, antikempal silikon dioksida, pengemulsi lesitin kedelai, Vitamin B3, pewarna sinetik Tartrazin C No. 19 Mengandung alergen, lihat daftar bahan yang dicetak tebal Mungkin mengandung udang dan telur. O Layanan Konsumen O BOX WINGSFOOD SB 60012 Surabaya Indonesia 031-5325005 de HATI-HATI PENIPUANI TIDAK ADA UNDIAN BERHADIAH DALAM KEMASAN INI Diproduksi oleh PT PRAKARSA ALAM SEGAR Bukas 17131-Indonesia BPOM RI V PE",2010,,24,10.7,,,,,,,,58.7,2.67,,6.67,,,8,,1.27,
8998866203043,Mie Sedaap Instant Bakmi Beef Yakiniku,Wingsfood,en:indonesia,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:noodles,en:instant-noodles",en:halal,"_Flour_, vegetable oil (contains TBHQ antioxidant), spice, beef-7.73%, water, _crunchy seaweed_-4.09% (contains _wheat flour_, flavor enhancer (monosodium glutamate)), _sweet soy sauce_ (contains _soybeans_, natural coloring caramel III, sodium benzoate preservative), salt, sugar, flavour enhancer monosodium glutamate), chili powder, _vegetable protein hydrolyzate_ (contains _soy_), _soy sauce powder_ (contains _soy_), synthetic flavors (contains the antioxidant tocopherol), onion powder, class IV caramel natural coloring, vegetable thickener, phosphate stabilizer, acidity regulator, soy lecithin emulsifier, flavor enhancers (Dinatrium 5'-Inosinate and Disodium 5'-Guanylate), Vitamin B3, synthetic dye Tartrazine CI No. 19140.",1930,,20,8.7,,,,,,,,57.4,4.35,,6.09,,,11.3,,0.974,
8998866203531,Isoplus Coco 350ml,Wings Food,en:indonesia,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:coconut-waters",,"Water, sugar, fructose syrup, coconut water (0.3%), acidity regulator, synthetic flavor, salt, vegetable stabilizer, potassium chloride, vegetable emulsifier (contains tocopherol antioxidant), magnesium lactate, calcium lactate, ascorbic acid",119,,0,0,,,,,,,,6.86,6.86,,0,,,0,,0.0543,
8998866203555,Mie sukses rendang,SUKSESS,en:indonesia,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas,en:noodles,en:chinese-noodles,en:flavoured-asian-noodles",,,1970,,19.7,9.09,,,,,,,,60.6,7.58,,6.06,,,12.1,,2.12,
8998866203579,Sedaap chese buldak,Mie Sedaap,en:indonesia,,,RH 30,1950,,18.6,6.98,,,,,,,,62.8,5.81,,6.98,,,9.3,,2.97,
8998866500708,Floridina Orange 350ML,wings food,"en:french-polynesia,en:indonesia","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:fruit-juices-from-concentrate,en:orange-juices,en:orange-juices-from-concentrate",,"Air, gule, bulir i sirup fruktosa, konsentrat jeruk (2%) gandung sari buah 11%), pengatur keasaman, min C, perisa sintetik jeruk (mengandung antioksidan tokoferol), penstabil nabati, pewarna alam Beta-karoten (sintetik) CL No. 40800 Gmengandung antioksidan tokoferol)",191,,0,0,,,,,,,,12,10.9,,,,,0,,0.0143,
8998866619745,Mi Goreng,Mi Sedaap,en:indonesia,,,,1902,,18.1818181818182,9.09090909090909,,,,,,,,63.6363636363636,7.95454545454545,,3.40909090909091,,,10.2272727272727,,,
8998866623032,Instant Coffee,Top Cafe Palm Sugar,en:indonesia,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:coffees",,,418,,2.5,2.5,,,,,,,,18,14,,64.6999969482422,,,1,,,
8998866807265,Café top - Top,,en:indonesia,,,,586,,5,5,,,,,,,,23,16,,2,,,1,,,
